loan_id,origination_date,principal_amount,interest_rate,term_months,risk_grade,purpose,state,monthly_income
L00113,2024-11-10,100000,10.47,24,A,personal,West Bengal,25000
L00114,2024-12-10,100000,16.89,12,C,personal,Gujarat,25000
L00115,2024-04-17,500000,10.86,48,A,education,Tamil Nadu,35000
L00116,2024-04-16,750000,11.24,24,A,vehicle,Andhra Pradesh,150000
L00117,2024-08-10,300000,11.33,24,A,personal,Andhra Pradesh,50000
L00118,2024-07-23,300000,26.28,36,E,consumer_durable,Delhi,35000
L00119,2024-07-19,1000000,25.21,36,E,education,Delhi,150000
L00120,2024-10-28,750000,10.55,12,A,education,Andhra Pradesh,50000
L00121,2024-06-08,200000,17.21,24,C,education,Delhi,150000
L00122,2024-11-21,150000,17.26,12,C,business,Andhra Pradesh,25000
L00123,2024-05-11,150000,13.18,48,B,vehicle,Telangana,35000
L00124,2024-05-27,500000,17.06,24,C,business,Andhra Pradesh,50000
L00125,2024-08-03,500000,17.61,24,C,vehicle,West Bengal,100000
L00126,2024-09-04,750000,13.03,48,B,business,Delhi,100000
L00127,2024-04-16,500000,13.22,12,B,education,Rajasthan,50000
L00128,2024-11-27,200000,21.3,48,D,business,West Bengal,25000
L00129,2024-08-04,50000,10.61,12,A,vehicle,Rajasthan,35000
L00130,2024-12-23,500000,14.34,48,B,education,Tamil Nadu,75000
L00131,2024-05-02,1000000,17.23,36,C,vehicle,Andhra Pradesh,75000
L00132,2024-11-12,500000,25.2,36,E,personal,West Bengal,50000
L00133,2024-08-03,100000,11.9,24,A,education,Maharashtra,25000
L00134,2024-10-07,200000,17.98,12,C,education,Telangana,100000
L00135,2024-03-26,200000,10.66,12,A,business,Tamil Nadu,35000
L00136,2024-01-05,150000,13.22,12,B,business,Telangana,100000
L00137,2024-03-24,150000,13.53,48,B,education,Karnataka,150000
L00138,2024-09-19,1000000,11.56,12,A,consumer_durable,Rajasthan,35000
L00139,2024-11-17,50000,26.45,36,E,consumer_durable,Maharashtra,25000
L00140,2024-02-16,750000,25.85,48,E,personal,Karnataka,50000
L00141,2024-10-21,100000,16.25,36,C,consumer_durable,Kerala,100000
L00142,2024-12-04,750000,10.2,24,A,consumer_durable,Andhra Pradesh,35000
L00143,2024-12-04,1000000,13.8,36,B,consumer_durable,Gujarat,150000
L00144,2024-08-03,150000,11.37,12,A,personal,Karnataka,75000
L00145,2024-09-02,500000,11.62,36,A,personal,West Bengal,50000
L00146,2024-12-02,750000,21.74,36,D,education,Delhi,50000
L00147,2024-08-08,200000,10.31,12,A,business,Rajasthan,50000
L00148,2024-07-28,300000,11.15,12,A,education,Delhi,25000
L00149,2024-06-01,300000,11.84,24,A,vehicle,Kerala,150000
L00150,2024-01-03,150000,14.48,24,B,consumer_durable,West Bengal,75000
L00151,2024-06-25,500000,13.62,12,B,personal,Tamil Nadu,35000
L00152,2024-05-15,50000,17.35,48,C,consumer_durable,Kerala,75000
L00153,2024-02-12,200000,14.51,48,B,personal,Delhi,150000
L00154,2024-05-02,1000000,17.05,24,C,consumer_durable,Kerala,25000
L00155,2024-03-25,300000,11.89,36,A,business,Gujarat,25000
L00156,2024-07-18,750000,10.35,24,A,education,Rajasthan,150000
L00157,2024-12-02,100000,20.79,48,D,personal,Andhra Pradesh,25000
L00158,2024-12-21,750000,21.15,48,D,business,Karnataka,75000
L00159,2024-10-15,500000,10.34,36,A,personal,West Bengal,25000
L00160,2024-07-28,750000,11.05,36,A,business,Telangana,50000
L00161,2024-02-17,100000,17.02,24,C,business,Gujarat,150000
L00162,2024-03-09,150000,25.47,24,E,vehicle,Kerala,35000
L00163,2024-11-16,100000,16.35,48,C,education,Kerala,75000
L00164,2024-11-11,500000,17.73,24,C,consumer_durable,Karnataka,75000
L00165,2024-10-02,300000,14.59,36,B,education,Karnataka,50000
L00166,2024-05-03,50000,13.11,12,B,education,Kerala,100000
L00167,2024-10-21,50000,13.9,24,B,business,Kerala,75000
L00168,2024-06-23,50000,13.9,12,B,education,Tamil Nadu,25000
L00169,2024-09-17,1000000,11.98,24,A,business,Gujarat,50000
L00170,2024-01-26,500000,14.36,36,B,personal,Gujarat,25000
L00171,2024-12-28,750000,13.57,24,B,business,Karnataka,100000
L00172,2024-11-23,500000,16.62,48,C,vehicle,Kerala,150000
L00173,2024-11-26,300000,26.12,36,E,vehicle,Rajasthan,25000
L00174,2024-01-12,750000,17.02,36,C,vehicle,Telangana,50000
L00175,2024-03-05,1000000,25.38,12,E,business,Karnataka,100000
L00176,2024-10-05,50000,17.32,48,C,vehicle,Tamil Nadu,35000
L00177,2024-01-14,150000,21.44,36,D,vehicle,Andhra Pradesh,100000
L00178,2024-04-10,1000000,10.47,48,A,vehicle,Gujarat,150000
L00179,2024-05-25,1000000,25.92,48,E,education,Rajasthan,75000
L00180,2024-03-28,200000,26.6,36,E,personal,Andhra Pradesh,50000
L00181,2024-09-28,100000,14.42,12,B,business,Karnataka,35000
L00182,2024-02-08,150000,11.66,48,A,business,Maharashtra,75000
L00183,2024-02-12,500000,10.47,24,A,personal,Gujarat,25000
L00184,2024-03-02,500000,21.58,36,D,consumer_durable,Tamil Nadu,150000
L00185,2024-01-09,50000,14.81,24,B,vehicle,Rajasthan,150000
L00186,2024-05-08,750000,16.22,36,C,personal,Maharashtra,35000
L00187,2024-08-20,1000000,13.13,12,B,education,Kerala,35000
L00188,2024-10-12,300000,16.86,24,C,education,West Bengal,35000
L00189,2024-06-03,100000,17.05,12,C,consumer_durable,Andhra Pradesh,25000
L00190,2024-01-12,500000,16.51,12,C,business,Telangana,150000
L00191,2024-12-25,100000,17.54,36,C,vehicle,Maharashtra,50000
L00192,2024-11-15,150000,14.66,48,B,vehicle,Tamil Nadu,25000
L00193,2024-04-02,1000000,16.07,24,C,personal,Gujarat,50000
L00194,2024-11-07,1000000,13.51,36,B,business,Maharashtra,150000
L00195,2024-07-13,100000,14.6,48,B,consumer_durable,Gujarat,35000
L00196,2024-09-09,1000000,13.73,12,B,consumer_durable,Karnataka,75000
L00197,2024-06-04,150000,17.09,12,C,business,Delhi,50000
L00198,2024-08-12,750000,13.33,48,B,personal,Gujarat,100000
L00199,2024-01-03,300000,26.28,48,E,business,Rajasthan,150000
L00200,2024-10-22,50000,16.29,48,C,personal,Tamil Nadu,25000
L00201,2024-10-02,500000,10.72,24,A,consumer_durable,Gujarat,50000
L00202,2024-09-12,100000,14.15,48,B,business,Delhi,35000
L00203,2024-08-17,50000,26.47,48,E,education,Karnataka,50000
L00204,2024-10-10,1000000,16.43,48,C,vehicle,Karnataka,35000
L00205,2024-12-15,1000000,20.35,12,D,business,Gujarat,150000
L00206,2024-03-23,300000,11.78,24,A,business,Rajasthan,35000
L00207,2024-04-26,200000,11.58,48,A,personal,Gujarat,100000
L00208,2024-09-05,1000000,14.61,12,B,personal,Delhi,75000
L00209,2024-07-27,1000000,26.05,12,E,vehicle,Gujarat,150000
L00210,2024-06-05,1000000,11.36,24,A,vehicle,West Bengal,100000
L00211,2024-09-05,50000,21.66,36,D,vehicle,Tamil Nadu,50000
L00212,2024-09-10,200000,25.69,12,E,business,Telangana,150000
L00213,2024-05-20,300000,25.25,12,E,education,Tamil Nadu,100000
L00214,2024-10-24,150000,25.34,36,E,education,Maharashtra,25000
L00215,2024-10-14,300000,11.3,12,A,consumer_durable,Rajasthan,50000
L00216,2024-11-13,300000,16.97,36,C,consumer_durable,Karnataka,150000
L00217,2024-08-07,1000000,10.83,36,A,education,Tamil Nadu,50000
L00218,2024-06-13,500000,21.47,24,D,business,Rajasthan,100000
L00219,2024-05-15,200000,10.93,24,A,vehicle,Karnataka,25000
L00220,2024-07-08,750000,11.73,24,A,business,Kerala,150000
L00221,2024-09-15,150000,14.0,48,B,business,Andhra Pradesh,25000
L00222,2024-04-07,750000,11.01,36,A,personal,Maharashtra,50000
L00223,2024-01-28,1000000,13.57,12,B,consumer_durable,Tamil Nadu,50000
L00224,2024-07-02,750000,16.73,24,C,business,Rajasthan,50000
L00225,2024-05-27,1000000,11.53,12,A,vehicle,Karnataka,75000
L00226,2024-06-25,500000,14.12,24,B,vehicle,Kerala,100000
L00227,2024-03-23,50000,13.09,36,B,consumer_durable,Rajasthan,75000
L00228,2024-10-11,150000,10.66,24,A,consumer_durable,Kerala,150000
L00229,2024-09-18,500000,21.01,48,D,education,Delhi,75000
L00230,2024-02-14,500000,20.66,36,D,personal,Kerala,75000
L00231,2024-10-16,200000,11.44,24,A,education,Kerala,75000
L00232,2024-12-04,200000,10.06,24,A,personal,Andhra Pradesh,50000
L00233,2024-07-17,750000,14.38,48,B,personal,Tamil Nadu,100000
L00234,2024-08-17,500000,12.0,48,A,business,Tamil Nadu,75000
L00235,2024-11-25,500000,21.09,36,D,education,Andhra Pradesh,35000
L00236,2024-04-10,300000,26.12,36,E,vehicle,Andhra Pradesh,50000
L00237,2024-10-22,300000,13.58,48,B,consumer_durable,Gujarat,35000
L00238,2024-02-12,300000,11.91,48,A,business,Andhra Pradesh,35000
L00239,2024-12-09,300000,11.87,24,A,personal,Kerala,150000
L00240,2024-09-08,200000,16.1,24,C,personal,Karnataka,75000
L00241,2024-03-01,1000000,13.2,24,B,consumer_durable,Andhra Pradesh,75000
L00242,2024-11-02,300000,16.64,12,C,education,Telangana,100000
L00243,2024-03-14,50000,17.83,24,C,personal,West Bengal,75000
L00244,2024-01-10,300000,11.75,12,A,business,Delhi,75000
L00245,2024-03-28,1000000,26.78,48,E,business,Telangana,25000
L00246,2024-12-06,1000000,14.3,12,B,business,Delhi,100000
L00247,2024-11-13,200000,16.35,48,C,education,Gujarat,25000
L00248,2024-03-16,100000,13.37,36,B,vehicle,Maharashtra,50000
L00249,2024-06-10,1000000,14.51,12,B,business,Gujarat,150000
L00250,2024-03-13,100000,10.93,36,A,personal,Delhi,50000
L00251,2024-08-05,200000,17.91,48,C,education,Gujarat,75000
L00252,2024-11-27,1000000,17.51,24,C,vehicle,Kerala,25000
L00253,2024-10-04,500000,13.16,12,B,education,Rajasthan,35000
L00254,2024-09-15,150000,13.33,12,B,vehicle,Kerala,75000
L00255,2024-08-05,1000000,11.62,48,A,consumer_durable,Kerala,25000
L00256,2024-07-09,300000,14.45,12,B,vehicle,Kerala,25000
L00257,2024-09-02,500000,11.4,12,A,consumer_durable,Maharashtra,50000
L00258,2024-12-21,150000,14.53,48,B,business,West Bengal,75000
L00259,2024-11-22,750000,20.75,24,D,business,Karnataka,35000
L00260,2024-12-08,750000,26.06,12,E,personal,Delhi,75000
L00261,2024-04-08,750000,17.06,48,C,business,Tamil Nadu,50000
L00262,2024-11-14,100000,10.06,12,A,vehicle,Telangana,25000
L00263,2024-11-23,50000,10.89,12,A,vehicle,Maharashtra,75000
L00264,2024-01-05,200000,14.51,36,B,vehicle,Kerala,50000
L00265,2024-03-22,500000,13.47,24,B,consumer_durable,Delhi,50000
L00266,2024-07-18,150000,11.25,48,A,personal,Gujarat,150000
L00267,2024-07-05,500000,17.39,36,C,consumer_durable,Tamil Nadu,100000
L00268,2024-12-05,200000,13.6,48,B,personal,Rajasthan,75000
L00269,2024-05-07,150000,25.78,36,E,personal,Andhra Pradesh,50000
L00270,2024-07-22,200000,10.1,12,A,personal,Telangana,100000
L00271,2024-06-10,200000,16.96,12,C,vehicle,Telangana,150000
L00272,2024-12-20,1000000,11.83,24,A,consumer_durable,Telangana,100000
L00273,2024-09-21,300000,13.76,36,B,business,Delhi,50000
L00274,2024-12-16,1000000,13.93,36,B,vehicle,Gujarat,50000
L00275,2024-01-09,200000,14.48,48,B,business,Tamil Nadu,35000
L00276,2024-04-16,750000,14.14,36,B,business,Andhra Pradesh,150000
L00277,2024-12-26,1000000,16.92,36,C,vehicle,Tamil Nadu,150000
L00278,2024-09-21,150000,14.83,12,B,education,Maharashtra,25000
L00279,2024-07-05,50000,26.53,24,E,personal,Tamil Nadu,25000
L00280,2024-10-21,1000000,10.75,48,A,consumer_durable,Maharashtra,25000
L00281,2024-09-24,750000,13.02,36,B,education,Delhi,25000
L00282,2024-03-04,750000,14.61,12,B,education,Tamil Nadu,35000
L00283,2024-05-26,300000,11.63,48,A,personal,Gujarat,75000
L00284,2024-04-10,200000,14.98,12,B,personal,Karnataka,75000
L00285,2024-01-23,1000000,13.11,24,B,personal,Andhra Pradesh,75000
L00286,2024-02-17,500000,17.13,12,C,vehicle,Telangana,150000
L00287,2024-02-22,1000000,20.54,36,D,education,Kerala,150000
L00288,2024-04-19,500000,10.03,24,A,consumer_durable,Karnataka,50000
L00289,2024-07-22,200000,11.13,36,A,consumer_durable,Tamil Nadu,150000
L00290,2024-07-08,500000,16.11,12,C,business,Kerala,100000
L00291,2024-06-01,750000,26.94,36,E,consumer_durable,Andhra Pradesh,35000
L00292,2024-11-19,750000,13.86,48,B,personal,Kerala,50000
L00293,2024-03-13,100000,16.16,24,C,consumer_durable,Gujarat,50000
L00294,2024-08-12,50000,11.89,36,A,personal,Tamil Nadu,25000
L00295,2024-09-14,1000000,11.11,12,A,personal,Karnataka,50000
L00296,2024-01-10,500000,14.73,48,B,consumer_durable,Karnataka,150000
L00297,2024-03-22,200000,21.14,48,D,vehicle,Tamil Nadu,50000
L00298,2024-03-14,1000000,13.29,36,B,consumer_durable,Delhi,75000
L00299,2024-04-24,500000,16.5,48,C,education,Kerala,35000
L00300,2024-07-11,150000,13.61,48,B,business,Andhra Pradesh,50000
L00301,2024-10-23,150000,13.6,24,B,consumer_durable,Gujarat,35000
L00302,2024-12-21,500000,25.58,48,E,education,Telangana,50000
L00303,2024-10-07,750000,13.73,24,B,education,Maharashtra,150000
L00304,2024-05-27,200000,13.88,12,B,consumer_durable,Andhra Pradesh,35000
L00305,2024-03-23,200000,16.51,48,C,consumer_durable,Karnataka,75000
L00306,2024-09-17,1000000,26.16,48,E,education,Maharashtra,50000
L00307,2024-04-22,100000,16.22,36,C,vehicle,Kerala,25000
L00308,2024-06-26,750000,14.93,48,B,personal,Maharashtra,25000
L00309,2024-07-15,200000,10.89,24,A,business,Maharashtra,75000
L00310,2024-02-04,750000,11.84,24,A,business,Delhi,50000
L00311,2024-06-16,200000,14.04,12,B,consumer_durable,Andhra Pradesh,50000
L00312,2024-02-01,50000,11.62,36,A,personal,Tamil Nadu,150000
L00313,2024-06-18,150000,11.1,48,A,consumer_durable,Telangana,75000
L00314,2024-07-13,150000,17.28,12,C,education,Telangana,75000
L00315,2024-04-07,750000,16.01,36,C,personal,Kerala,25000
L00316,2024-04-15,150000,16.73,12,C,business,Andhra Pradesh,100000
L00317,2024-10-13,500000,26.19,12,E,business,Gujarat,75000
L00318,2024-10-03,300000,17.84,24,C,business,Karnataka,35000
L00319,2024-03-17,150000,13.75,48,B,consumer_durable,Kerala,35000
L00320,2024-11-18,750000,13.37,24,B,education,Tamil Nadu,75000
L00321,2024-08-20,150000,10.63,12,A,business,Maharashtra,75000
L00322,2024-09-21,750000,11.93,48,A,consumer_durable,Andhra Pradesh,75000
L00323,2024-02-19,1000000,16.98,12,C,vehicle,Delhi,25000
L00324,2024-08-19,300000,10.34,48,A,education,Rajasthan,25000
L00325,2024-06-18,300000,14.55,12,B,consumer_durable,Rajasthan,35000
L00326,2024-11-25,100000,26.47,24,E,business,Maharashtra,75000
L00327,2024-02-25,100000,10.88,24,A,vehicle,Kerala,150000
L00328,2024-03-26,750000,13.33,24,B,vehicle,Maharashtra,100000
L00329,2024-03-11,300000,14.19,36,B,business,Kerala,50000
L00330,2024-07-02,100000,25.27,36,E,vehicle,Tamil Nadu,35000
L00331,2024-11-13,500000,11.66,48,A,vehicle,Kerala,150000
L00332,2024-02-21,750000,10.75,12,A,consumer_durable,Rajasthan,150000
L00333,2024-08-11,500000,10.91,12,A,personal,Andhra Pradesh,150000
L00334,2024-09-13,500000,17.7,24,C,consumer_durable,Telangana,75000
L00335,2024-10-05,300000,10.68,48,A,business,Maharashtra,25000
L00336,2024-03-15,1000000,10.03,48,A,personal,West Bengal,35000
L00337,2024-05-06,150000,26.76,36,E,personal,Gujarat,50000
L00338,2024-11-10,150000,10.1,24,A,consumer_durable,Karnataka,150000
L00339,2024-03-19,200000,10.95,24,A,education,Andhra Pradesh,25000
L00340,2024-07-23,500000,11.63,24,A,consumer_durable,Karnataka,35000
L00341,2024-06-10,100000,13.21,24,B,consumer_durable,Tamil Nadu,150000
L00342,2024-10-01,150000,25.14,24,E,consumer_durable,Gujarat,150000
L00343,2024-10-22,150000,11.84,48,A,vehicle,Karnataka,25000
L00344,2024-07-12,100000,11.18,48,A,business,Tamil Nadu,35000
L00345,2024-10-20,100000,10.5,36,A,personal,Delhi,35000
L00346,2024-05-21,200000,14.5,12,B,vehicle,Andhra Pradesh,75000
L00347,2024-02-17,1000000,11.28,12,A,business,Gujarat,35000
L00348,2024-11-06,750000,13.73,48,B,personal,Maharashtra,100000
L00349,2024-01-26,300000,10.43,48,A,education,Delhi,150000
L00350,2024-07-03,750000,16.85,24,C,business,Karnataka,50000
L00351,2024-03-18,200000,11.95,36,A,consumer_durable,Kerala,150000
L00352,2024-07-24,100000,16.62,24,C,personal,Telangana,25000
L00353,2024-10-02,100000,20.91,36,D,vehicle,Karnataka,25000
L00354,2024-06-17,50000,16.33,36,C,vehicle,Gujarat,35000
L00355,2024-02-25,300000,17.47,12,C,business,West Bengal,50000
L00356,2024-10-21,300000,14.42,12,B,consumer_durable,Andhra Pradesh,100000
L00357,2024-03-12,1000000,14.72,24,B,business,Karnataka,100000
L00358,2024-09-01,100000,16.46,12,C,personal,Telangana,25000
L00359,2024-03-28,750000,14.84,12,B,education,West Bengal,35000
L00360,2024-06-09,750000,14.83,12,B,education,Gujarat,25000
L00361,2024-09-02,50000,13.36,48,B,personal,Andhra Pradesh,50000
L00362,2024-09-15,300000,16.65,12,C,business,Telangana,50000
L00363,2024-04-15,300000,14.48,36,B,education,Andhra Pradesh,35000
L00364,2024-07-01,200000,16.3,24,C,education,Gujarat,150000
L00365,2024-01-25,50000,21.9,48,D,business,Karnataka,35000
L00366,2024-01-05,200000,13.84,36,B,personal,Maharashtra,35000
L00367,2024-06-15,750000,21.4,12,D,education,Karnataka,100000
L00368,2024-10-02,750000,10.15,48,A,vehicle,Telangana,50000
L00369,2024-07-23,500000,11.85,36,A,business,Andhra Pradesh,50000
L00370,2024-10-04,200000,10.27,24,A,personal,Tamil Nadu,75000
L00371,2024-06-25,750000,13.24,24,B,consumer_durable,Delhi,75000
L00372,2024-11-10,100000,10.18,12,A,vehicle,Gujarat,35000
L00373,2024-07-17,200000,11.94,12,A,business,Delhi,35000
L00374,2024-09-24,750000,11.71,24,A,personal,Andhra Pradesh,25000
L00375,2024-01-27,150000,20.24,24,D,vehicle,Telangana,75000
L00376,2024-05-27,100000,14.16,12,B,personal,Karnataka,35000
L00377,2024-02-28,1000000,21.62,36,D,personal,Maharashtra,75000
L00378,2024-07-16,750000,11.64,12,A,consumer_durable,West Bengal,35000
L00379,2024-08-05,150000,13.55,12,B,education,Kerala,100000
L00380,2024-09-16,300000,11.0,12,A,personal,Delhi,75000
L00381,2024-09-08,200000,11.29,12,A,consumer_durable,Gujarat,75000
L00382,2024-10-17,1000000,13.69,36,B,consumer_durable,Delhi,35000
L00383,2024-05-02,200000,10.06,48,A,education,Gujarat,100000
L00384,2024-11-08,150000,25.2,36,E,education,Maharashtra,35000
L00385,2024-03-06,750000,13.71,24,B,education,Gujarat,150000
L00386,2024-06-19,50000,17.41,24,C,education,Telangana,75000
L00387,2024-02-02,150000,13.98,24,B,education,Telangana,25000
L00388,2024-10-07,50000,13.66,24,B,business,Tamil Nadu,50000
L00389,2024-03-25,150000,11.17,12,A,education,Gujarat,25000
L00390,2024-06-10,750000,14.17,36,B,vehicle,Tamil Nadu,150000
