loan_id,report_month,dpd,outstanding_balance,emi_amount,status,recovery_amount
L00008,2025-08,0,76000,28000,current,0
L00008,2025-09,0,48000,28000,current,0
L00008,2025-10,0,20000,28000,current,0
L00008,2025-11,0,0,28000,current,0
L00008,2025-12,0,0,28000,current,0
L00009,2025-01,29,149388,7000,dpd_1_30,0
L00009,2025-02,0,142388,7000,current,0
L00009,2025-03,0,135388,7000,current,0
L00009,2025-04,0,128388,7000,current,0
L00009,2025-05,0,121388,7000,current,0
L00009,2025-06,0,114388,7000,current,0
L00009,2025-07,0,107388,7000,current,0
L00009,2025-08,0,100388,7000,current,0
L00009,2025-09,0,93388,7000,current,0
L00009,2025-10,0,86388,7000,current,0
L00009,2025-11,0,79388,7000,current,0
L00009,2025-12,0,72388,7000,current,0
L00010,2025-01,29,493284,15556,dpd_1_30,0
L00010,2025-02,12,489027,15556,dpd_1_30,0
L00010,2025-03,26,485952,15556,dpd_1_30,0
L00010,2025-04,46,481403,15556,dpd_31_60,0
L00010,2025-05,84,480629,15556,dpd_61_90,0
L00010,2025-06,107,476095,15556,dpd_90_plus,0
L00010,2025-07,64,469187,15556,dpd_61_90,0
L00010,2025-08,21,468959,15556,dpd_1_30,0
L00010,2025-09,0,453403,15556,current,0
L00010,2025-10,0,437847,15556,current,0
L00010,2025-11,27,432314,15556,dpd_1_30,0
L00010,2025-12,37,430904,15556,dpd_31_60,0
L00011,2025-01,0,968889,31111,current,0
L00011,2025-02,0,937778,31111,current,0
L00011,2025-03,0,906667,31111,current,0
L00011,2025-04,0,875556,31111,current,0
L00011,2025-05,0,844445,31111,current,0
L00011,2025-06,17,841810,31111,dpd_1_30,0
L00011,2025-07,0,810699,31111,current,0
L00011,2025-08,0,779588,31111,current,0
L00011,2025-09,0,748477,31111,current,0
L00011,2025-10,0,717366,31111,current,0
L00011,2025-11,27,706254,31111,dpd_1_30,0
L00011,2025-12,26,697850,31111,dpd_1_30,0
L00012,2025-01,0,195333,4667,current,0
L00012,2025-02,0,190666,4667,current,0
L00012,2025-03,0,185999,4667,current,0
L00012,2025-04,0,181332,4667,current,0
L00012,2025-05,0,176665,4667,current,0
L00012,2025-06,0,171998,4667,current,0
L00012,2025-07,0,167331,4667,current,0
L00012,2025-08,0,162664,4667,current,0
L00012,2025-09,0,157997,4667,current,0
L00012,2025-10,0,153330,4667,current,0
L00012,2025-11,0,148663,4667,current,0
L00012,2025-12,0,143996,4667,current,0
L00013,2025-01,0,136000,14000,current,0
L00013,2025-02,0,122000,14000,current,0
L00013,2025-03,0,108000,14000,current,0
L00013,2025-04,0,94000,14000,current,0
L00013,2025-05,0,80000,14000,current,0
L00013,2025-06,0,66000,14000,current,0
L00013,2025-07,0,52000,14000,current,0
L00013,2025-08,0,38000,14000,current,0
L00013,2025-09,0,24000,14000,current,0
L00013,2025-10,0,10000,14000,current,0
L00013,2025-11,0,0,14000,current,0
L00013,2025-12,0,0,14000,current,0
L00014,2025-01,0,272000,28000,current,0
L00014,2025-02,0,244000,28000,current,0
L00014,2025-03,0,216000,28000,current,0
L00014,2025-04,0,188000,28000,current,0
L00014,2025-05,0,160000,28000,current,0
L00014,2025-06,29,152757,28000,dpd_1_30,0
L00014,2025-07,0,124757,28000,current,0
L00014,2025-08,0,96757,28000,current,0
L00014,2025-09,0,68757,28000,current,0
L00014,2025-10,0,40757,28000,current,0
L00014,2025-11,0,12757,28000,current,0
L00014,2025-12,0,0,28000,current,0
L00015,2025-01,0,290667,9333,current,0
L00015,2025-02,0,281334,9333,current,0
L00015,2025-03,0,272001,9333,current,0
L00015,2025-04,0,262668,9333,current,0
L00015,2025-05,0,253335,9333,current,0
L00015,2025-06,0,244002,9333,current,0
L00015,2025-07,0,234669,9333,current,0
L00015,2025-08,0,225336,9333,current,0
L00015,2025-09,0,216003,9333,current,0
L00015,2025-10,24,212365,9333,dpd_1_30,0
L00015,2025-11,39,212209,9333,dpd_31_60,0
L00015,2025-12,60,207990,9333,dpd_31_60,0
L00016,2025-01,30,295339,14000,dpd_1_30,0
L00016,2025-02,0,281339,14000,current,0
L00016,2025-03,0,267339,14000,current,0
L00016,2025-04,0,253339,14000,current,0
L00016,2025-05,0,239339,14000,current,0
L00016,2025-06,0,225339,14000,current,0
L00016,2025-07,0,211339,14000,current,0
L00016,2025-08,0,197339,14000,current,0
L00016,2025-09,0,183339,14000,current,0
L00016,2025-10,12,183301,14000,dpd_1_30,0
L00016,2025-11,0,169301,14000,current,0
L00016,2025-12,0,155301,14000,current,0
L00017,2025-01,0,45333,4667,current,0
L00017,2025-02,0,40666,4667,current,0
L00017,2025-03,0,35999,4667,current,0
L00017,2025-04,0,31332,4667,current,0
L00017,2025-05,0,26665,4667,current,0
L00017,2025-06,0,21998,4667,current,0
L00017,2025-07,0,17331,4667,current,0
L00017,2025-08,4,15482,4667,dpd_1_30,0
L00017,2025-09,0,10815,4667,current,0
L00017,2025-10,0,6148,4667,current,0
L00017,2025-11,0,1481,4667,current,0
L00017,2025-12,0,0,4667,current,0
L00018,2025-01,0,90667,9333,current,0
L00018,2025-02,0,81334,9333,current,0
L00018,2025-03,0,72001,9333,current,0
L00018,2025-04,0,62668,9333,current,0
L00018,2025-05,0,53335,9333,current,0
L00018,2025-06,0,44002,9333,current,0
L00018,2025-07,0,34669,9333,current,0
L00018,2025-08,0,25336,9333,current,0
L00018,2025-09,0,16003,9333,current,0
L00018,2025-10,0,6670,9333,current,0
L00018,2025-11,0,0,9333,current,0
L00018,2025-12,0,0,9333,current,0
L00019,2025-01,0,143000,7000,current,0
L00019,2025-02,0,136000,7000,current,0
L00019,2025-03,0,129000,7000,current,0
L00019,2025-04,0,122000,7000,current,0
L00019,2025-05,0,115000,7000,current,0
L00019,2025-06,1,112689,7000,dpd_1_30,0
L00019,2025-07,0,105689,7000,current,0
L00019,2025-08,0,98689,7000,current,0
L00019,2025-09,0,91689,7000,current,0
L00019,2025-10,0,84689,7000,current,0
L00019,2025-11,0,77689,7000,current,0
L00019,2025-12,0,70689,7000,current,0
L00020,2025-01,0,453333,46667,current,0
L00020,2025-02,0,406666,46667,current,0
L00020,2025-03,0,359999,46667,current,0
L00020,2025-04,0,313332,46667,current,0
L00020,2025-05,0,266665,46667,current,0
L00020,2025-06,0,219998,46667,current,0
L00020,2025-07,0,173331,46667,current,0
L00020,2025-08,0,126664,46667,current,0
L00020,2025-09,0,79997,46667,current,0
L00020,2025-10,0,33330,46667,current,0
L00020,2025-11,0,0,46667,current,0
L00020,2025-12,0,0,46667,current,0
L00021,2025-01,0,181333,18667,current,0
L00021,2025-02,0,162666,18667,current,0
L00021,2025-03,0,143999,18667,current,0
L00021,2025-04,0,125332,18667,current,0
L00021,2025-05,0,106665,18667,current,0
L00021,2025-06,30,106348,18667,dpd_1_30,0
L00021,2025-07,58,105091,18667,dpd_31_60,0
L00021,2025-08,31,101732,18667,dpd_31_60,0
L00021,2025-09,70,95760,18667,dpd_61_90,0
L00021,2025-10,159,92767,18667,dpd_90_plus,0
L00021,2025-11,999,92767,18667,charged_off,13026
L00021,2025-12,999,92767,18667,charged_off,0
L00022,2025-01,0,97667,2333,current,0
L00022,2025-02,0,95334,2333,current,0
L00022,2025-03,0,93001,2333,current,0
L00022,2025-04,0,90668,2333,current,0
L00022,2025-05,0,88335,2333,current,0
L00022,2025-06,0,86002,2333,current,0
L00022,2025-07,16,85178,2333,dpd_1_30,0
L00022,2025-08,43,84394,2333,dpd_31_60,0
L00022,2025-09,83,83717,2333,dpd_61_90,0
L00022,2025-10,84,82571,2333,dpd_61_90,0
L00022,2025-11,145,81626,2333,dpd_90_plus,0
L00022,2025-12,150,81119,2333,dpd_90_plus,0
L00023,2025-01,0,976667,23333,current,0
L00023,2025-02,0,953334,23333,current,0
L00023,2025-03,0,930001,23333,current,0
L00023,2025-04,0,906668,23333,current,0
L00023,2025-05,0,883335,23333,current,0
L00023,2025-06,0,860002,23333,current,0
L00023,2025-07,0,836669,23333,current,0
L00023,2025-08,0,813336,23333,current,0
L00023,2025-09,0,790003,23333,current,0
L00023,2025-10,0,766670,23333,current,0
L00023,2025-11,0,743337,23333,current,0
L00023,2025-12,0,720004,23333,current,0
L00024,2025-01,0,453333,46667,current,0
L00024,2025-02,0,406666,46667,current,0
L00024,2025-03,0,359999,46667,current,0
L00024,2025-04,0,313332,46667,current,0
L00024,2025-05,0,266665,46667,current,0
L00024,2025-06,0,219998,46667,current,0
L00024,2025-07,0,173331,46667,current,0
L00024,2025-08,0,126664,46667,current,0
L00024,2025-09,0,79997,46667,current,0
L00024,2025-10,0,33330,46667,current,0
L00024,2025-11,0,0,46667,current,0
L00024,2025-12,0,0,46667,current,0
L00025,2025-01,0,97667,2333,current,0
L00025,2025-02,21,96704,2333,dpd_1_30,0
L00025,2025-03,29,96001,2333,dpd_1_30,0
L00025,2025-04,0,93668,2333,current,0
L00025,2025-05,0,91335,2333,current,0
L00025,2025-06,0,89002,2333,current,0
L00025,2025-07,0,86669,2333,current,0
L00025,2025-08,0,84336,2333,current,0
L00025,2025-09,0,82003,2333,current,0
L00025,2025-10,0,79670,2333,current,0
L00025,2025-11,0,77337,2333,current,0
L00025,2025-12,0,75004,2333,current,0
L00026,2025-01,0,181333,18667,current,0
L00026,2025-02,0,162666,18667,current,0
L00026,2025-03,0,143999,18667,current,0
L00026,2025-04,0,125332,18667,current,0
L00026,2025-05,0,106665,18667,current,0
L00026,2025-06,0,87998,18667,current,0
L00026,2025-07,0,69331,18667,current,0
L00026,2025-08,0,50664,18667,current,0
L00026,2025-09,0,31997,18667,current,0
L00026,2025-10,0,13330,18667,current,0
L00026,2025-11,0,0,18667,current,0
L00026,2025-12,0,0,18667,current,0
L00027,2025-01,0,190667,9333,current,0
L00027,2025-02,0,181334,9333,current,0
L00027,2025-03,0,172001,9333,current,0
L00027,2025-04,0,162668,9333,current,0
L00027,2025-05,0,153335,9333,current,0
L00027,2025-06,0,144002,9333,current,0
L00027,2025-07,0,134669,9333,current,0
L00027,2025-08,0,125336,9333,current,0
L00027,2025-09,0,116003,9333,current,0
L00027,2025-10,6,113534,9333,dpd_1_30,0
L00027,2025-11,0,104201,9333,current,0
L00027,2025-12,0,94868,9333,current,0
L00028,2025-01,0,732500,17500,current,0
L00028,2025-02,0,715000,17500,current,0
L00028,2025-03,0,697500,17500,current,0
L00028,2025-04,0,680000,17500,current,0
L00028,2025-05,0,662500,17500,current,0
L00028,2025-06,0,645000,17500,current,0
L00028,2025-07,0,627500,17500,current,0
L00028,2025-08,0,610000,17500,current,0
L00028,2025-09,28,608136,17500,dpd_1_30,0
L00028,2025-10,56,607749,17500,dpd_31_60,0
L00028,2025-11,64,600040,17500,dpd_61_90,0
L00028,2025-12,66,592803,17500,dpd_61_90,0
L00029,2025-01,20,191140,18667,dpd_1_30,0
L00029,2025-02,9,190419,18667,dpd_1_30,0
L00029,2025-03,0,171752,18667,current,0
L00029,2025-04,0,153085,18667,current,0
L00029,2025-05,0,134418,18667,current,0
L00029,2025-06,0,115751,18667,current,0
L00029,2025-07,0,97084,18667,current,0
L00029,2025-08,0,78417,18667,current,0
L00029,2025-09,0,59750,18667,current,0
L00029,2025-10,0,41083,18667,current,0
L00029,2025-11,0,22416,18667,current,0
L00029,2025-12,0,3749,18667,current,0
L00030,2025-01,0,143000,7000,current,0
L00030,2025-02,0,136000,7000,current,0
L00030,2025-03,20,133035,7000,dpd_1_30,0
L00030,2025-04,0,126035,7000,current,0
L00030,2025-05,0,119035,7000,current,0
L00030,2025-06,0,112035,7000,current,0
L00030,2025-07,0,105035,7000,current,0
L00030,2025-08,0,98035,7000,current,0
L00030,2025-09,0,91035,7000,current,0
L00030,2025-10,0,84035,7000,current,0
L00030,2025-11,0,77035,7000,current,0
L00030,2025-12,0,70035,7000,current,0
L00031,2025-01,0,181333,18667,current,0
L00031,2025-02,0,162666,18667,current,0
L00031,2025-03,0,143999,18667,current,0
L00031,2025-04,0,125332,18667,current,0
L00031,2025-05,0,106665,18667,current,0
L00031,2025-06,0,87998,18667,current,0
L00031,2025-07,0,69331,18667,current,0
L00031,2025-08,0,50664,18667,current,0
L00031,2025-09,0,31997,18667,current,0
L00031,2025-10,0,13330,18667,current,0
L00031,2025-11,0,0,18667,current,0
L00031,2025-12,0,0,18667,current,0
L00032,2025-01,0,484444,15556,current,0
L00032,2025-02,0,468888,15556,current,0
L00032,2025-03,0,453332,15556,current,0
L00032,2025-04,22,448251,15556,dpd_1_30,0
L00032,2025-05,0,432695,15556,current,0
L00032,2025-06,0,417139,15556,current,0
L00032,2025-07,0,401583,15556,current,0
L00032,2025-08,0,386027,15556,current,0
L00032,2025-09,0,370471,15556,current,0
L00032,2025-10,0,354915,15556,current,0
L00032,2025-11,0,339359,15556,current,0
L00032,2025-12,0,323803,15556,current,0
L00033,2025-01,0,293000,7000,current,0
L00033,2025-02,0,286000,7000,current,0
L00033,2025-03,0,279000,7000,current,0
L00033,2025-04,0,272000,7000,current,0
L00033,2025-05,0,265000,7000,current,0
L00033,2025-06,0,258000,7000,current,0
L00033,2025-07,0,251000,7000,current,0
L00033,2025-08,0,244000,7000,current,0
L00033,2025-09,0,237000,7000,current,0
L00033,2025-10,0,230000,7000,current,0
L00033,2025-11,0,223000,7000,current,0
L00033,2025-12,0,216000,7000,current,0
L00034,2025-01,0,181333,18667,current,0
L00034,2025-02,0,162666,18667,current,0
L00034,2025-03,0,143999,18667,current,0
L00034,2025-04,0,125332,18667,current,0
L00034,2025-05,0,106665,18667,current,0
L00034,2025-06,0,87998,18667,current,0
L00034,2025-07,0,69331,18667,current,0
L00034,2025-08,0,50664,18667,current,0
L00034,2025-09,0,31997,18667,current,0
L00034,2025-10,0,13330,18667,current,0
L00034,2025-11,0,0,18667,current,0
L00034,2025-12,0,0,18667,current,0
L00035,2025-01,0,272000,28000,current,0
L00035,2025-02,0,244000,28000,current,0
L00035,2025-03,13,236417,28000,dpd_1_30,0
L00035,2025-04,0,208417,28000,current,0
L00035,2025-05,0,180417,28000,current,0
L00035,2025-06,0,152417,28000,current,0
L00035,2025-07,0,124417,28000,current,0
L00035,2025-08,0,96417,28000,current,0
L00035,2025-09,0,68417,28000,current,0
L00035,2025-10,0,40417,28000,current,0
L00035,2025-11,0,12417,28000,current,0
L00035,2025-12,0,0,28000,current,0
L00036,2025-01,0,143000,7000,current,0
L00036,2025-02,0,136000,7000,current,0
L00036,2025-03,0,129000,7000,current,0
L00036,2025-04,8,128190,7000,dpd_1_30,0
L00036,2025-05,0,121190,7000,current,0
L00036,2025-06,0,114190,7000,current,0
L00036,2025-07,0,107190,7000,current,0
L00036,2025-08,0,100190,7000,current,0
L00036,2025-09,0,93190,7000,current,0
L00036,2025-10,0,86190,7000,current,0
L00036,2025-11,0,79190,7000,current,0
L00036,2025-12,0,72190,7000,current,0
L00037,2025-01,0,484444,15556,current,0
L00037,2025-02,0,468888,15556,current,0
L00037,2025-03,0,453332,15556,current,0
L00037,2025-04,0,437776,15556,current,0
L00037,2025-05,0,422220,15556,current,0
L00037,2025-06,0,406664,15556,current,0
L00037,2025-07,0,391108,15556,current,0
L00037,2025-08,0,375552,15556,current,0
L00037,2025-09,0,359996,15556,current,0
L00037,2025-10,0,344440,15556,current,0
L00037,2025-11,0,328884,15556,current,0
L00037,2025-12,0,313328,15556,current,0
L00038,2025-01,0,48444,1556,current,0
L00038,2025-02,0,46888,1556,current,0
L00038,2025-03,0,45332,1556,current,0
L00038,2025-04,0,43776,1556,current,0
L00038,2025-05,0,42220,1556,current,0
L00038,2025-06,0,40664,1556,current,0
L00038,2025-07,0,39108,1556,current,0
L00038,2025-08,0,37552,1556,current,0
L00038,2025-09,0,35996,1556,current,0
L00038,2025-10,0,34440,1556,current,0
L00038,2025-11,0,32884,1556,current,0
L00038,2025-12,0,31328,1556,current,0
L00039,2025-01,0,293000,7000,current,0
L00039,2025-02,0,286000,7000,current,0
L00039,2025-03,0,279000,7000,current,0
L00039,2025-04,0,272000,7000,current,0
L00039,2025-05,0,265000,7000,current,0
L00039,2025-06,12,262161,7000,dpd_1_30,0
L00039,2025-07,0,255161,7000,current,0
L00039,2025-08,0,248161,7000,current,0
L00039,2025-09,0,241161,7000,current,0
L00039,2025-10,3,239799,7000,dpd_1_30,0
L00039,2025-11,0,232799,7000,current,0
L00039,2025-12,12,232505,7000,dpd_1_30,0
L00040,2025-01,0,143000,7000,current,0
L00040,2025-02,9,140338,7000,dpd_1_30,0
L00040,2025-03,0,133338,7000,current,0
L00040,2025-04,30,132524,7000,dpd_1_30,0
L00040,2025-05,4,130597,7000,dpd_1_30,0
L00040,2025-06,0,123597,7000,current,0
L00040,2025-07,25,123570,7000,dpd_1_30,0
L00040,2025-08,0,116570,7000,current,0
L00040,2025-09,0,109570,7000,current,0
L00040,2025-10,0,102570,7000,current,0
L00040,2025-11,0,95570,7000,current,0
L00040,2025-12,0,88570,7000,current,0
L00041,2025-01,0,47667,2333,current,0
L00041,2025-02,0,45334,2333,current,0
L00041,2025-03,0,43001,2333,current,0
L00041,2025-04,0,40668,2333,current,0
L00041,2025-05,0,38335,2333,current,0
L00041,2025-06,7,37919,2333,dpd_1_30,0
L00041,2025-07,37,36936,2333,dpd_31_60,0
L00041,2025-08,67,36278,2333,dpd_61_90,0
L00041,2025-09,0,33945,2333,current,0
L00041,2025-10,0,31612,2333,current,0
L00041,2025-11,0,29279,2333,current,0
L00041,2025-12,0,26946,2333,current,0
L00042,2025-01,0,715000,35000,current,0
L00042,2025-02,0,680000,35000,current,0
L00042,2025-03,0,645000,35000,current,0
L00042,2025-04,0,610000,35000,current,0
L00042,2025-05,13,596437,35000,dpd_1_30,0
L00042,2025-06,56,580546,35000,dpd_31_60,0
L00042,2025-07,0,545546,35000,current,0
L00042,2025-08,0,510546,35000,current,0
L00042,2025-09,0,475546,35000,current,0
L00042,2025-10,0,440546,35000,current,0
L00042,2025-11,0,405546,35000,current,0
L00042,2025-12,0,370546,35000,current,0
L00043,2025-01,15,499519,23333,dpd_1_30,0
L00043,2025-02,0,476186,23333,current,0
L00043,2025-03,0,452853,23333,current,0
L00043,2025-04,0,429520,23333,current,0
L00043,2025-05,0,406187,23333,current,0
L00043,2025-06,0,382854,23333,current,0
L00043,2025-07,0,359521,23333,current,0
L00043,2025-08,0,336188,23333,current,0
L00043,2025-09,0,312855,23333,current,0
L00043,2025-10,0,289522,23333,current,0
L00043,2025-11,0,266189,23333,current,0
L00043,2025-12,0,242856,23333,current,0
L00044,2025-01,0,48833,1167,current,0
L00044,2025-02,0,47666,1167,current,0
L00044,2025-03,0,46499,1167,current,0
L00044,2025-04,0,45332,1167,current,0
L00044,2025-05,0,44165,1167,current,0
L00044,2025-06,0,42998,1167,current,0
L00044,2025-07,0,41831,1167,current,0
L00044,2025-08,0,40664,1167,current,0
L00044,2025-09,0,39497,1167,current,0
L00044,2025-10,0,38330,1167,current,0
L00044,2025-11,0,37163,1167,current,0
L00044,2025-12,0,35996,1167,current,0
L00045,2025-01,0,181333,18667,current,0
L00045,2025-02,0,162666,18667,current,0
L00045,2025-03,0,143999,18667,current,0
L00045,2025-04,0,125332,18667,current,0
L00045,2025-05,0,106665,18667,current,0
L00045,2025-06,0,87998,18667,current,0
L00045,2025-07,0,69331,18667,current,0
L00045,2025-08,0,50664,18667,current,0
L00045,2025-09,0,31997,18667,current,0
L00045,2025-10,0,13330,18667,current,0
L00045,2025-11,0,0,18667,current,0
L00045,2025-12,0,0,18667,current,0
L00046,2025-01,0,476667,23333,current,0
L00046,2025-02,0,453334,23333,current,0
L00046,2025-03,0,430001,23333,current,0
L00046,2025-04,20,420268,23333,dpd_1_30,0
L00046,2025-05,20,418459,23333,dpd_1_30,0
L00046,2025-06,9,409830,23333,dpd_1_30,0
L00046,2025-07,0,386497,23333,current,0
L00046,2025-08,0,363164,23333,current,0
L00046,2025-09,0,339831,23333,current,0
L00046,2025-10,0,316498,23333,current,0
L00046,2025-11,0,293165,23333,current,0
L00046,2025-12,0,269832,23333,current,0
L00047,2025-01,0,680000,70000,current,0
L00047,2025-02,0,610000,70000,current,0
L00047,2025-03,0,540000,70000,current,0
L00047,2025-04,0,470000,70000,current,0
L00047,2025-05,0,400000,70000,current,0
L00047,2025-06,0,330000,70000,current,0
L00047,2025-07,0,260000,70000,current,0
L00047,2025-08,0,190000,70000,current,0
L00047,2025-09,0,120000,70000,current,0
L00047,2025-10,0,50000,70000,current,0
L00047,2025-11,0,0,70000,current,0
L00047,2025-12,0,0,70000,current,0
L00048,2025-01,0,715000,35000,current,0
L00048,2025-02,0,680000,35000,current,0
L00048,2025-03,0,645000,35000,current,0
L00048,2025-04,0,610000,35000,current,0
L00048,2025-05,0,575000,35000,current,0
L00048,2025-06,0,540000,35000,current,0
L00048,2025-07,0,505000,35000,current,0
L00048,2025-08,0,470000,35000,current,0
L00048,2025-09,0,435000,35000,current,0
L00048,2025-10,0,400000,35000,current,0
L00048,2025-11,0,365000,35000,current,0
L00048,2025-12,0,330000,35000,current,0
L00049,2025-01,0,453333,46667,current,0
L00049,2025-02,10,437655,46667,dpd_1_30,0
L00049,2025-03,0,390988,46667,current,0
L00049,2025-04,0,344321,46667,current,0
L00049,2025-05,0,297654,46667,current,0
L00049,2025-06,0,250987,46667,current,0
L00049,2025-07,16,229241,46667,dpd_1_30,0
L00049,2025-08,0,182574,46667,current,0
L00049,2025-09,0,135907,46667,current,0
L00049,2025-10,0,89240,46667,current,0
L00049,2025-11,0,42573,46667,current,0
L00049,2025-12,0,0,46667,current,0
L00050,2025-01,0,476667,23333,current,0
L00050,2025-02,0,453334,23333,current,0
L00050,2025-03,0,430001,23333,current,0
L00050,2025-04,0,406668,23333,current,0
L00050,2025-05,0,383335,23333,current,0
L00050,2025-06,0,360002,23333,current,0
L00050,2025-07,0,336669,23333,current,0
L00050,2025-08,0,313336,23333,current,0
L00050,2025-09,0,290003,23333,current,0
L00050,2025-10,0,266670,23333,current,0
L00050,2025-11,0,243337,23333,current,0
L00050,2025-12,0,220004,23333,current,0
L00051,2025-01,1,146904,14000,dpd_1_30,0
L00051,2025-02,0,132904,14000,current,0
L00051,2025-03,0,118904,14000,current,0
L00051,2025-04,0,104904,14000,current,0
L00051,2025-05,0,90904,14000,current,0
L00051,2025-06,2,88915,14000,dpd_1_30,0
L00051,2025-07,41,85628,14000,dpd_31_60,0
L00051,2025-08,85,80425,14000,dpd_61_90,0
L00051,2025-09,89,77974,14000,dpd_61_90,0
L00051,2025-10,55,76542,14000,dpd_31_60,0
L00051,2025-11,53,71700,14000,dpd_31_60,0
L00051,2025-12,88,70185,14000,dpd_61_90,0
L00052,2025-01,0,476667,23333,current,0
L00052,2025-02,0,453334,23333,current,0
L00052,2025-03,0,430001,23333,current,0
L00052,2025-04,0,406668,23333,current,0
L00052,2025-05,0,383335,23333,current,0
L00052,2025-06,0,360002,23333,current,0
L00052,2025-07,0,336669,23333,current,0
L00052,2025-08,0,313336,23333,current,0
L00052,2025-09,0,290003,23333,current,0
L00052,2025-10,0,266670,23333,current,0
L00052,2025-11,0,243337,23333,current,0
L00052,2025-12,0,220004,23333,current,0
L00053,2025-01,0,96889,3111,current,0
L00053,2025-02,0,93778,3111,current,0
L00053,2025-03,0,90667,3111,current,0
L00053,2025-04,0,87556,3111,current,0
L00053,2025-05,0,84445,3111,current,0
L00053,2025-06,0,81334,3111,current,0
L00053,2025-07,0,78223,3111,current,0
L00053,2025-08,0,75112,3111,current,0
L00053,2025-09,0,72001,3111,current,0
L00053,2025-10,0,68890,3111,current,0
L00053,2025-11,0,65779,3111,current,0
L00053,2025-12,0,62668,3111,current,0
L00054,2025-01,0,195333,4667,current,0
